order_id,customer_id,order_date,product_id,product_name,product_price,quantity
ORD1000,CUST1000,2024-01-01,PROD100,Product 0,50.00,2
ORD1001,CUST1001,2024-02-01,PROD101,Product 1,20.00,1
ORD1002,CUST1002,2024-03-01,PROD102,Product 2,30.00,3
ORD1003,CUST1003,2024-01-15,PROD103,Product 3,40.00,1
ORD1004,CUST1004,2024-02-20,PROD104,Product 4,60.00,5
ORD1005,CUST1005,2024-03-10,PROD105,Product 5,10.00,4
ORD1006,CUST1006,2024-01-25,PROD106,Product 6,70.00,2
ORD1007,CUST1007,2024-02-15,PROD107,Product 7,80.00,1
ORD1008,CUST1008,2024-03-20,PROD108,Product 8,90.00,3
ORD1009,CUST1009,2024-01-30,PROD109,Product 9,100.00,1